word,meaning,hint,partOfSpeech,scoreTier,difficulty,priority,tags
vacation,"休暇,休み(holiday)",「vacation」：文中での品詞を意識する,"noun, verb",400,1,5,general
memo,連絡メモ,「memo」：office procedureとセットで,noun,400,1,5,office|business
logical,論理的な,「logical」：TOEIC文書での用法を確認,adjective,400,1,5,general
sincerely,"真心込めて,心から",「sincerely」：文中での品詞を意識する,adverb,400,1,5,general
sometime,いつか,「sometime」：文中での品詞を意識する,"adjective, adverb",400,1,5,general
goods,商品、品物,「goods」：TOEIC文書での用法を確認,noun,400,1,5,general
workshop,研修会、作業場,「workshop」：会議動詞との組合せを確認,noun,400,1,5,meeting|business
downtown,中心街の、中心街で,「downtown」：前後の語との組合せを覚える,"noun, adjective",400,1,5,general
noon,正午,「noon」：前後の語との組合せを覚える,noun,400,1,5,general
accountant,"会計係,会計士,計理士",「accountant」：社内人事メールでよく使う,noun,400,2,5,employment|business
clerk,"行員,社員",「clerk」：job descriptionの文脈で確認,"noun, verb",400,1,5,employment|business
lobby,ロビー(公共的建物・ホテルの玄関から部屋へ行くまでの間の広間または廊下),「lobby」：文中での品詞を意識する,"noun, verb",400,1,5,general
publish,"出版する,発行する",「publish」：前後の語との組合せを覚える,verb,400,1,5,general
technician,"専門家,専門技術者",「technician」：job descriptionの文脈で確認,noun,400,2,5,employment|business
traveler,"旅行者,旅人",「traveler」：出張・交通案内で頻出,noun,400,1,5,travel|business
caller,"訪問客,来訪者,呼ぶ人(物) (スクエアダンスで)ステップを大声で指示する人",「caller」：TOEIC文書での用法を確認,"noun, adjective",400,1,5,general
subway,"地下鉄(underground, tube)",「subway」：前後の語との組合せを覚える,noun,400,1,5,general
luggage,"手荷物,小荷物,トランク・スーツケースなどの旅行かばん類",「luggage」：旅程表の文脈で確認,noun,400,1,5,travel|business
infer,"推論する,推量する",「infer」：前後の語との組合せを覚える,verb,400,1,5,general
waiter,"給仕人,ウエーター",「waiter」：前後の語との組合せを覚える,noun,400,1,5,general
rental,"賃貸料,地代,家賃",「rental」：前後の語との組合せを覚える,"noun, adjective",400,1,5,general
chef,"コック長,料理長",「chef」：前後の語との組合せを覚える,noun,400,1,5,general
