word,meaning,hint,partOfSpeech,scoreTier,difficulty,priority,tags
abandon,放棄する,abandon a plan,verb,600,3,4,business|planning
acquire,獲得する,会社や技能を手に入れる,verb,600,3,4,business|skills
additional,追加の,addの仲間,adjective,500,2,4,business|general
adequate,十分な,必要量を満たす,adjective,600,3,3,business|evaluation
approximately,およそ,aboutと同じ感覚,adverb,600,3,4,numbers|reports
arrange,手配する、整える,予定や物を整える,verb,500,2,5,scheduling|business
available,利用できる、空いている,人・物・時間に使う,adjective,400,2,5,scheduling|general
benefit,利益、恩恵,beneficialもセット,"noun, verb",400,2,5,business|employment
confirm,確認する,予約確認で頻出,verb,400,2,5,reservations|communication
conduct,実施する,conduct a survey,verb,600,3,4,research|business
consider,検討する,consider doing,verb,400,2,5,planning|decision
contract,契約,sign a contract,noun,400,2,5,contracts|business
convenient,便利な,場所や時間にも使う,adjective,500,2,4,services|general
delay,遅らせる、遅延,flight delay,"noun, verb",400,2,5,travel|scheduling
deliver,配達する、届ける,deliveryの動詞,verb,400,2,5,shipping|business
department,部門、部署,sales department,noun,400,2,5,company|organization
despite,〜にもかかわらず,後ろは名詞,preposition,600,3,4,grammar|general
determine,決定する,determine whether,verb,600,3,4,decision|business
effective,効果的な,effectは名詞,adjective,500,2,5,evaluation|business
employee,従業員,employerは雇用主,noun,400,2,5,employment|company
ensure,確実にする,make sureに近い,verb,500,3,5,quality|business
equipment,設備、機器,不可算名詞,noun,500,2,5,office|facilities
estimate,見積もる、見積もり,price estimate,"noun, verb",500,3,5,finance|planning
facility,施設、設備,複数形facilitiesも頻出,noun,500,3,5,facilities|company
frequently,頻繁に,oftenより硬め,adverb,500,2,4,frequency|general
increase,増加する、増加,名詞と動詞,"noun, verb",400,2,5,reports|finance
indicate,示す,グラフ説明で頻出,verb,600,3,5,reports|data
maintain,維持する,maintenanceもセット,verb,500,3,5,facilities|quality
negotiate,交渉する,negotiate with,verb,600,4,4,contracts|communication
notify,知らせる,notify A of B,verb,500,3,5,communication|business
participate,参加する,participate in,verb,500,3,5,events|meetings
policy,方針、規定,company policy,noun,400,2,5,company|rules
postpone,延期する,put offと同じ,verb,600,3,4,scheduling|events
purchase,購入する、購入,buyより硬い,"noun, verb",400,2,5,purchasing|business
require,必要とする,require A to do,verb,500,2,5,rules|business
schedule,予定、予定を組む,発音はスケジュール,"noun, verb",400,2,5,scheduling|business
submit,提出する,submit a report,verb,500,3,5,documents|business
temporary,一時的な,temporary staff,adjective,500,3,4,employment|general
vacant,空いている,部屋・役職に使う,adjective,500,3,4,employment|property
verify,確認する、検証する,情報が正しいか確かめる,verb,600,3,4,quality|data
vacation,"休暇,休み(holiday)",「vacation」：文中での品詞を意識する,"noun, verb",400,1,5,general
memo,連絡メモ,「memo」：office procedureとセットで,noun,400,1,5,office|business
logical,論理的な,「logical」：TOEIC文書での用法を確認,adjective,400,1,5,general
sincerely,"真心込めて,心から",「sincerely」：文中での品詞を意識する,adverb,400,1,5,general
sometime,いつか,「sometime」：文中での品詞を意識する,"adjective, adverb",400,1,5,general
goods,商品、品物,「goods」：TOEIC文書での用法を確認,noun,400,1,5,general
workshop,研修会、作業場,「workshop」：会議動詞との組合せを確認,noun,400,1,5,meeting|business
downtown,中心街の、中心街で,「downtown」：前後の語との組合せを覚える,"noun, adjective",400,1,5,general
noon,正午,「noon」：前後の語との組合せを覚える,noun,400,1,5,general
accountant,"会計係,会計士,計理士",「accountant」：社内人事メールでよく使う,noun,400,2,5,employment|business
clerk,"行員,社員",「clerk」：job descriptionの文脈で確認,"noun, verb",400,1,5,employment|business
lobby,ロビー(公共的建物・ホテルの玄関から部屋へ行くまでの間の広間または廊下),「lobby」：文中での品詞を意識する,"noun, verb",400,1,5,general
publish,"出版する,発行する",「publish」：前後の語との組合せを覚える,verb,400,1,5,general
technician,"専門家,専門技術者",「technician」：job descriptionの文脈で確認,noun,400,2,5,employment|business
traveler,"旅行者,旅人",「traveler」：出張・交通案内で頻出,noun,400,1,5,travel|business
caller,"訪問客,来訪者,呼ぶ人(物) (スクエアダンスで)ステップを大声で指示する人",「caller」：TOEIC文書での用法を確認,"noun, adjective",400,1,5,general
subway,"地下鉄(underground, tube)",「subway」：前後の語との組合せを覚える,noun,400,1,5,general
luggage,"手荷物,小荷物,トランク・スーツケースなどの旅行かばん類",「luggage」：旅程表の文脈で確認,noun,400,1,5,travel|business
infer,"推論する,推量する",「infer」：前後の語との組合せを覚える,verb,400,1,5,general
waiter,"給仕人,ウエーター",「waiter」：前後の語との組合せを覚える,noun,400,1,5,general
rental,"賃貸料,地代,家賃",「rental」：前後の語との組合せを覚える,"noun, adjective",400,1,5,general
chef,"コック長,料理長",「chef」：前後の語との組合せを覚える,noun,400,1,5,general
elevator,"エレベーター,昇降機(lift)",「elevator」：工事・点検案内でよく使う,noun,400,1,5,facility|business
reception,受付、歓迎会,「reception」：office procedureとセットで,noun,400,1,5,office|event
correctly,"正しく,正確に",「correctly」：文中での品詞を意識する,adverb,400,1,5,general
lease,"借地(借家)契約,借地(借家)権",「lease」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
preview,"試写会,試演会,(展覧会などの)内見(ないけん)",「preview」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
attendant,付き添いの,「attendant」：文中での品詞を意識する,"noun, adjective",400,1,5,general
subscription,予約,「subscription」：文中での品詞を意識する,noun,400,2,5,general
manual,手引書、手作業の,「manual」：提出書類の文脈で確認,"noun, adjective",400,1,5,document|business
clue,"手がかり,(研究などの)糸口,端緒",「clue」：文中での品詞を意識する,"noun, verb",400,1,5,general
garage,車庫,「garage」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
oval,卵形の,「oval」：文中での品詞を意識する,noun,400,1,5,general
most,"最も多い,最高の,最大の",「most」：前後の語との組合せを覚える,noun,400,1,5,general
outdoor,"戸外の,野外の",「outdoor」：前後の語との組合せを覚える,adjective,400,1,5,general
need,"必要,入用",「need」：前後の語との組合せを覚える,"noun, verb",400,1,5,general
suitcase,"スーツケース,(長方形で平たい)小型旅行かばん",「suitcase」：文中での品詞を意識する,noun,400,1,5,general
destination,"目的地,行き先",「destination」：出張・交通案内で頻出,noun,400,2,5,travel|business
occupation,"職業,仕事",「occupation」：採用・人事の場面で頻出,noun,400,2,5,employment|business
contradict,"否定する,反ばくする(deny)",「contradict」：文中での品詞を意識する,verb,400,2,5,general
umbrella,"傘(かさ),こうもり傘,雨傘,日傘",「umbrella」：文中での品詞を意識する,noun,400,1,5,general
inference,"推量,推論,推測",「inference」：TOEIC文書での用法を確認,noun,400,1,5,general
compact,"ぎっしり詰まった,目詰んだ,緊密な",「compact」：文中での品詞を意識する,"noun, verb",400,1,5,general
merchandise,商品(goods),「merchandise」：sales reportの文脈で確認,"noun, verb",400,2,5,sales|retail
dentist,"歯科医,歯医者",「dentist」：前後の語との組合せを覚える,noun,400,1,5,general
identification,"同一であることの確認(証明),身元確認,身分証明",「identification」：前後の語との組合せを覚える,noun,400,2,5,general
coupon,クーポン(切り取って使う切符),「coupon」：TOEIC文書での用法を確認,noun,400,1,5,general
depart,"(遠くへ)立ち去る,出発する",「depart」：前後の語との組合せを覚える,verb,400,1,5,general
change,"変える,改める",「change」：文中での品詞を意識する,"noun, verb",400,1,5,general
renovation,刷新(修繕)すること,「renovation」：施設案内で頻出,noun,400,2,5,facility|business
upgrade,更新する、格上げする,「upgrade」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
precede,…より先に来る(行く),「precede」：TOEIC文書での用法を確認,verb,400,1,5,general
replacement,"置き換わること,取り替えること,元へ戻すこと",「replacement」：文中での品詞を意識する,noun,400,2,5,general
dine,正餐(晩餐)をとる,「dine」：文中での品詞を意識する,noun,400,1,5,general
problem,"問題,やっかいな事態",「problem」：前後の語との組合せを覚える,noun,400,1,5,general
write,"書く,記す",「write」：TOEIC文書での用法を確認,verb,400,1,5,general
passport,"旅券,パスポート",「passport」：旅程表の文脈で確認,noun,400,1,5,travel|business
coworker,仕事仲間,「coworker」：採用・人事の場面で頻出,noun,400,1,5,employment|business
